Price,Close,High,Low,Open,Volume
Ticker,LLY,LLY,LLY,LLY,LLY
Date,,,,,
2020-01-02,122.58209228515625,122.62843982270753,121.20985997219857,122.17413209198504,2204200
2020-01-03,122.17414093017578,122.8231621264444,120.7462801507838,120.81118934421117,1963500
2020-01-06,122.6284408569336,122.90659682258715,121.40457441469812,121.84961547118374,2102900
2020-01-07,122.86024475097656,123.24965747432341,122.10923348826469,122.10923348826469,2448300
2020-01-08,123.97284698486328,124.43643550015727,122.39663471478471,122.8138756966283,5188600
2020-01-09,126.02197265625,126.42993304755798,124.25106011562079,124.75174392226488,4522800
2020-01-10,127.95045471191406,128.20079651941793,125.6603258762043,125.89212017821863,4177600
2020-01-13,128.822021484375,129.79556051788154,127.84848245086845,128.13590516176203,5117100
2020-01-14,130.407470703125,130.6392650087812,128.06171346169262,128.86836726574523,4685200
2020-01-15,130.83401489257812,131.37177952919996,129.81411400457026,130.34261195952132,3676500
2020-01-16,131.1306915283203,131.6313752417752,129.66576370143702,131.5015709730284,3794800
2020-01-17,129.41542053222656,131.41812707052696,129.21144037660684,130.62075395699648,5393200
2020-01-21,130.6485595703125,131.26049999700138,128.34914963019733,129.34123615355077,4849500
2020-01-22,131.25123596191406,131.89099065824925,130.44459611745924,130.96381321952694,2742100
2020-01-23,130.92669677734375,131.41809955455608,129.69354942114646,130.9637776398725,3138700
2020-01-24,128.9425506591797,131.6499066093823,128.59948544643723,131.52010235655075,3183300
2020-01-27,128.23788452148438,128.97036247928173,127.3385214477953,127.3385214477953,2826400
2020-01-28,129.11868286132812,129.69354230599455,128.16369154309237,128.59019925058035,2649100
2020-01-29,129.73065185546875,130.86180934330105,128.84983621103632,129.35050575023257,2815500
2020-01-30,132.28038024902344,133.2539192181954,128.04318745510326,128.11734918728177,5243400
2020-01-31,129.47105407714844,132.4472998137258,129.31343561380888,132.4472998137258,3913500
2020-02-03,130.73202514648438,131.26052310282086,129.50814407766657,130.29625059752098,5137800
2020-02-04,132.99429321289062,133.57841934705286,131.45517574206355,131.93731182339747,3177500
2020-02-05,136.6195526123047,136.6288192902548,134.00490637518453,134.23670065233634,4060900
2020-02-06,136.5731964111328,137.10168002750697,136.1188745165371,136.98115661891666,3285000
2020-02-07,135.74801635742188,136.49902762088183,134.79302497949118,136.49902762088183,2670400
2020-02-10,134.91357421875,134.95066923626405,130.84326612422404,131.19559805258794,4892100
2020-02-11,133.74533081054688,135.23808688844395,132.75324426949075,135.11754930744743,2976400
2020-02-12,133.05918884277344,134.34796452640543,133.04065548588713,134.1347177414075,3953200
2020-02-13,132.1551971435547,133.9632465059333,132.14586821181234,133.14309688482982,3455500
2020-02-14,131.5214385986328,132.63982959399536,131.00885931684593,132.57458395686191,2273700
2020-02-18,131.4189453125,132.30434072520598,130.97159736040408,131.42827424585585,2858200
2020-02-19,131.2511749267578,132.19247268979282,130.81314175461952,131.9874352806671,3082800
2020-02-20,132.34158325195312,133.09648719092857,131.59599402324875,131.99675409981168,3417000
2020-02-21,132.3788299560547,132.94734002989108,130.78514734018685,131.72644484368396,2900900
2020-02-24,128.7534637451172,131.95948798826402,128.49250960634328,129.8066092329123,4727400
2020-02-25,126.1998291015625,129.75999698272955,125.46355452315916,129.48972815353812,3401600
2020-02-26,124.44769287109375,127.70031876566578,124.24265546679796,126.77765044633469,4659000
2020-02-27,120.40287017822266,125.51013236330819,120.27239314425468,124.26127872091033,4292800
2020-02-28,117.55101013183594,118.17544412933134,113.24525333602483,117.78400587569466,7898300
2020-03-02,123.80462646484375,123.95374716769345,117.62558132745524,119.05151427373978,7355700
2020-03-03,121.44670867919922,126.4234947412524,119.93690069251477,124.21469946874252,6936600
2020-03-04,130.831787109375,131.27913499835122,123.95374754455027,123.98170589880297,5301900
2020-03-05,130.6173858642578,132.25768472043399,128.17559543908723,128.96778652039316,6882100
2020-03-06,131.83828735351562,132.67706614829626,126.33026583446161,126.86148861224179,8010700
2020-03-09,126.48875427246094,131.34437852088212,124.24267146763863,124.90438576143752,5351300
2020-03-10,131.58663940429688,132.27629749941457,125.55671021063928,129.75994705903202,5961200
2020-03-11,130.4962615966797,132.19246323521162,128.04514179439622,129.97435340020834,7211800
2020-03-12,117.44851684570312,127.21570366999799,117.3646417727912,121.8940734717194,7836300
2020-03-13,129.89048767089844,129.89048767089844,119.76915004583269,123.90715752649103,6841700
2020-03-16,120.57997131347656,129.24740228403164,119.52682591842859,122.08977930069508,6619700
2020-03-17,133.45997619628906,133.82344903405638,122.18298929316647,124.14947419004433,8909200
2020-03-18,133.35743713378906,134.20554503278362,124.96027585925917,127.06655221037732,6734600
2020-03-19,124.03762817382812,133.25494052402277,122.20162031719559,132.798277903446,6554800
2020-03-20,114.07472229003906,123.25475355217188,112.05232085698032,123.17087849396918,9113500
2020-03-23,110.95258331298828,118.25000508308446,109.09793195126092,112.72334539354196,7299300
2020-03-24,114.5313720703125,116.12506189337655,109.42411002513612,114.85756464629668,6827300
2020-03-25,113.64599609375,117.56032139485903,111.1016796707035,111.94978751520739,6472100
2020-03-26,125.2119140625,126.50736978424733,113.64600232850204,114.90417787927883,6723600
2020-03-27,124.98824310302734,128.25018366577186,121.34418608990903,121.76357560378972,4717400
2020-03-30,129.02374267578125,132.1272481061696,124.42905859659844,124.76457308153051,5057400
2020-03-31,129.28466796875,132.36021435779298,125.37034266493639,127.64438319769458,7560100
2020-04-01,127.14109802246094,127.85872879505067,123.93507475995735,124.88570124382285,3297900
2020-04-02,132.5093536376953,133.08719284434562,123.98171374832759,126.14392142031681,4725000
2020-04-03,130.1607666015625,134.76476551268007,129.04238969616998,131.33506021908457,4013200
2020-04-06,131.97811889648438,133.7395662736908,130.75722338912604,132.59323111606315,4159900
2020-04-07,132.22975158691406,134.95114021974356,130.52422100334925,133.39473032807047,3900600
2020-04-08,136.27456665039062,137.2345080819821,130.94362231251944,132.3881989259901,4006600
2020-04-09,135.81787109375,136.44229796269053,133.78615509220603,134.68085075898333,4415300
2020-04-13,134.59698486328125,136.6193862924601,133.1617372822593,135.10957836397915,2289000
2020-04-14,140.8319854736328,141.24206036732747,134.25218619099257,137.26248802107222,3809600
2020-04-15,140.8971710205078,142.96617424059627,138.40877833060264,138.80953838108937,3614400
2020-04-16,144.20571899414062,145.00722490621683,141.6614095026964,142.49087376581573,3512900
2020-04-17,146.5916290283203,146.94578718960184,142.62138577659127,144.84882502167986,3709900
2020-04-20,147.0575714111328,149.30365355018876,145.0258555721372,145.97648208534758,2562200
2020-04-21,142.2858428955078,145.20295423604244,141.1115494351092,144.8394814349001,4270200
2020-04-22,146.0510711669922,146.58229411476918,143.12464493590153,144.09390105828504,3278000
2020-04-23,149.052001953125,151.50312126083608,143.525350790923,146.48904926042994,5692900
2020-04-24,151.84793090820312,153.6839379216305,149.68573849001547,150.98119384366413,4414000
2020-04-27,150.31948852539062,153.31115935109133,149.78826576325113,152.84516798528256,3210300
2020-04-28,146.6009521484375,150.96262645871386,145.9392378555874,149.99337024118608,3270200
2020-04-29,144.60650634765625,147.2812933890068,144.14982949289202,147.02965396120334,3240700
2020-04-30,144.12185668945312,146.3026935893134,142.85435918663188,144.64376491633257,4175800
2020-05-01,143.18055725097656,144.0845819264971,141.26067448718905,143.26443231053642,2576400
2020-05-04,142.8543243408203,145.38931872811304,140.97171507799357,144.13113624305578,2228500
2020-05-05,147.1508026123047,148.39034177040264,142.3604103231328,143.33899536593992,2862600
2020-05-06,146.0231170654297,148.12940814279636,145.7155751320338,147.68206020055857,1964800
2020-05-07,142.5654296875,146.96439024699035,142.33243395541228,146.78731121525476,2330600
2020-05-08,143.06871032714844,143.9168183005037,142.17401457887263,143.71178089549622,1966600
2020-05-11,147.76588439941406,148.6233069188931,142.66793704851295,143.03140979286744,3196200
2020-05-12,146.99237060546875,150.42206146926037,146.87120825594434,148.99612851306154,2329400
2020-05-13,147.1880645751953,148.5114929155492,145.4266173193739,146.34928558515907,2650000
2020-05-14,148.30235290527344,148.83607661934394,144.02313319267498,146.01760677571687,2393900
2020-05-15,149.09828186035156,149.36046447692084,146.1018988939306,148.5364680910807,2824500
2020-05-18,147.9090576171875,152.0384397462943,147.11313715380342,151.073979488524,2703700
2020-05-19,146.72921752929688,149.0046047007928,145.39957346879825,146.86968164163997,2339400
2020-05-20,143.38644409179688,147.412826509428,141.96315668447716,145.390276737627,3780800
2020-05-21,142.5904998779297,143.4051376481264,140.19339366245612,143.4051376481264,3049800
2020-05-22,141.54176330566406,142.85267624509817,140.61475139914174,142.5343137152184,2355000
2020-05-26,138.54539489746094,142.10359160936366,137.7962955888937,141.49495645808582,5013400
2020-05-27,136.42916870117188,138.74200480473826,134.4815164935434,138.74200480473826,5376100
2020-05-28,141.06422424316406,142.42197303450175,137.18765055628285,138.04910978804742,3982700
2020-05-29,143.2178497314453,143.86394759309545,140.39937997287197,142.00993820287914,9466300
2020-06-01,142.74969482421875,145.12808414463052,141.28895897722896,144.64116743300679,5233800
2020-06-02,144.06996154785156,144.27596419494273,141.4293899557992,142.4032232489355,3269400
