Price,Close,High,Low,Open,Volume
Ticker,ACN,ACN,ACN,ACN,ACN
Date,,,,,
2020-01-02,190.8961639404297,192.504001368859,189.67893734977108,191.54112021921006,2431100
2020-01-03,190.57823181152344,191.33218929036917,188.03476363750616,189.3973343885026,1802100
2020-01-06,189.333740234375,189.66075776755002,187.86216826548065,189.1884098891311,2841400
2020-01-07,185.24598693847656,187.36251468948964,184.57379439096067,184.58287320403028,3097400
2020-01-08,185.60939025878906,186.62677198898587,184.88268308259714,185.3096230288304,2271300
2020-01-09,187.26260375976562,188.28907799154743,186.36331608343954,186.67216207610133,2910600
2020-01-10,188.63427734375,189.22471905991543,187.78947636345592,187.97114967144643,1573100
2020-01-13,190.387451171875,190.61454627958344,188.47986058359515,188.47986058359515,2202800
2020-01-14,188.6979217529297,191.66833056738852,188.06205802557497,190.35118130484167,2499100
2020-01-15,188.99879455566406,190.07483471348888,188.51549274606288,189.6735998720753,1986000
2020-01-16,190.56724548339844,190.67668201917624,189.58240014763027,189.80125930481387,2691600
2020-01-17,190.7678985595703,192.09013983475728,189.99279832243468,191.49741530551387,2584500
2020-01-21,190.72230529785156,191.64332560143657,188.76174204525705,189.21768828208135,2687200
2020-01-22,190.95938110351562,193.19351458692228,190.90466978860024,191.679769940523,1873600
2020-01-23,192.1175079345703,192.23605841384483,190.46698471255834,190.9502866312345,2368400
2020-01-24,190.19338989257812,192.9472947100418,189.71920198508946,192.4092815749452,2348900
2020-01-27,188.35133361816406,189.52766841463807,186.80111968634444,187.102031862786,1381300
2020-01-28,191.71624755859375,192.37281114622786,188.98968449565834,189.55505328497614,1810200
2020-01-29,189.6371612548828,192.600811736614,189.4821272927272,192.11749593375316,1491600
2020-01-30,190.0110321044922,190.5216896683346,187.12033460501826,189.2176900974067,1579600
2020-01-31,187.12942504882812,191.15998734604048,186.02602924324782,190.1295445942018,1793600
2020-02-03,189.49124145507812,190.05661028436867,187.16591307733276,187.24798005299616,2345700
2020-02-04,193.80445861816406,194.95343784303475,191.26939927842218,191.4973723407326,2242800
2020-02-05,193.5218048095703,195.5644487796344,191.87128180407987,195.0446634365801,2102500
2020-02-06,195.2908935546875,195.49151101004588,193.60388692945781,194.2330949563205,1611500
2020-02-07,192.93812561035156,194.58864802878523,192.4912934874114,194.54305064246583,1447700
2020-02-10,193.82269287109375,194.2056859312542,191.67062668945093,191.67062668945093,1421600
2020-02-11,193.44882202148438,195.12670042778626,193.10229851269776,194.57957342453383,1321000
2020-02-12,193.31207275390625,194.114528595285,192.9017100469315,193.50356236374577,1801300
2020-02-13,193.68592834472656,194.72548506055253,190.89553999773972,191.37884182702186,1721200
2020-02-14,193.65855407714844,194.72546634762165,192.7284339937851,194.46102371553712,2096600
2020-02-18,194.9261016845703,195.1996721695787,192.59165951932812,193.77712234478255,1699400
2020-02-19,196.89578247070312,197.32437296207632,195.4914744601246,196.05684322986278,1806000
2020-02-20,195.0537872314453,197.26057917955063,192.96555966744197,196.85934427989514,1481700
2020-02-21,193.22088623046875,194.7346310021074,191.94424239557725,193.8592081479145,2088800
2020-02-24,186.3543701171875,189.55510809664838,185.52454452142393,186.45467885859162,2600400
2020-02-25,179.7339630126953,187.3756103921478,178.60321164515432,186.73728861787913,2883600
2020-02-26,178.42996215820312,183.70069846481837,177.62749249290627,181.16563901967285,2671100
2020-02-27,170.01319885253906,177.2262701243717,169.9493597140619,175.26569337440537,3040100
2020-02-28,164.6786346435547,167.05867421190013,159.85473027842048,164.37770850107734,5785200
2020-03-02,172.8491973876953,173.09541221773875,162.3350797258856,165.96440737577086,4317900
2020-03-03,166.1649932861328,174.99210286359812,164.70596023999408,173.04978199209998,3514000
2020-03-04,172.21998596191406,172.99510000799003,168.06175916434233,169.42959765903686,3875400
2020-03-05,166.47508239746094,170.94336372295035,164.9795793454526,168.78216916828399,3548200
2020-03-06,163.00071716308594,164.4232666502101,158.5962765344933,161.81525461902595,3284400
2020-03-09,149.65061950683594,155.8241331846721,145.9939370381555,150.82695424397235,5112200
2020-03-10,159.179931640625,159.34407950451376,151.41060466631103,156.00655005396797,4349500
2020-03-11,150.5625457763672,156.08861116579,148.31928448330424,154.4016186746305,5188300
2020-03-12,139.09092712402344,144.76289816856516,134.12111702489037,139.51951760497934,6357900
2020-03-13,151.83920288085938,152.02159249760288,139.4557020630553,146.46815704699353,5742800
2020-03-16,139.10003662109375,151.83917236860518,130.86565078017858,135.22449458844972,5324900
2020-03-17,143.81454467773438,146.5046242532294,139.0453378003106,140.4314180301389,6081100
2020-03-18,137.83248901367188,145.72036423700072,129.4886816425908,138.21549595049942,5860200
2020-03-19,144.534912109375,162.13443415856418,138.02400242960323,138.02400242960323,6338300
2020-03-20,136.72915649414062,145.41949044950155,134.4311836188243,143.65041686612804,6449700
2020-03-23,131.02981567382812,134.9691834407434,125.06603183649528,134.9691834407434,6173700
2020-03-24,143.0303192138672,143.7415941265097,136.3187910293028,138.84472279485797,4685100
2020-03-25,138.4435272216797,145.6201168059105,135.06039989520673,142.65646615537673,4795500
2020-03-26,156.24362182617188,156.480722727069,136.78384367248265,139.8842718966434,5194500
2020-03-27,148.52902221679688,154.3742412825205,146.45902280060608,150.4622294394194,3802500
2020-03-30,154.8575439453125,155.35907353632493,149.34970712788993,149.6597471441739,2731300
2020-03-31,148.8755340576172,154.91227063333238,147.87246086162796,152.67812333428793,2963000
2020-04-01,141.05152893066406,146.65056238571532,139.13656297892686,144.5988042067554,2973100
2020-04-02,142.5014190673828,146.35871974789166,140.0210708033653,140.47701697080421,3030000
2020-04-03,138.74440002441406,144.73553877513206,135.21538147580407,141.89043941280286,3766600
2020-04-06,151.4197235107422,152.05804535604898,143.2035647485242,144.97263808721203,3090000
2020-04-07,149.6597900390625,156.3804471087071,149.48652824078212,156.00656785077317,3002500
2020-04-08,156.5992431640625,157.4746657958929,150.52605170427756,151.90300391318326,2466200
2020-04-09,162.24392700195312,164.02211475926313,157.31058477921937,157.967148553361,3743700
2020-04-13,157.3652801513672,161.41407077086538,154.62047508720553,160.65719839949975,1918500
2020-04-14,162.4080352783203,163.1284241221552,160.51129749516406,161.4049481141217,2875000
2020-04-15,155.21742248535156,159.66921818674908,154.70446067237756,159.6600631462178,2504700
2020-04-16,153.8433380126953,157.5989714529963,153.44946180093459,156.87531825967835,3051800
2020-04-17,160.38365173339844,160.44777892821898,157.5989967863843,158.02952116625835,4759100
2020-04-20,160.06304931640625,162.04161358019786,157.33333871509387,158.0936261126012,2511700
2020-04-21,152.27700805664062,158.28601171444308,151.7915254669019,156.4723217758502,2711400
2020-04-22,157.837158203125,158.78064426069764,154.99754499251625,155.75781847501463,1921200
2020-04-23,158.37757873535156,160.59432761170535,157.68141856129796,158.7989480361967,3027900
2020-04-24,160.72254943847656,161.58358403695402,158.07529050762855,161.58358403695402,2121100
2020-04-27,164.35906982421875,165.37583778536643,161.4003721984891,161.4278512803726,2457800
2020-04-28,163.3790283203125,167.86745755805393,162.05082080932038,166.78657587979362,2160100
2020-04-29,171.80625915527344,172.36502394686605,166.43845793637226,166.99722272796487,2957600
2020-04-30,169.63531494140625,170.8169576568907,168.7193080689776,169.94675392351462,2740800
2020-05-01,164.96368408203125,167.6201125558702,164.20339665557853,166.44762480781594,2064200
2020-05-04,164.45071411132812,165.4674823076045,162.02330146925902,163.0309006513522,1710500
2020-05-05,166.3651580810547,168.44449752486958,165.79723831201258,166.78652737809426,1621900
